Date,Open,High,Low,Close,Volume,OpenInt,Action
2014-04-04,36.367,36.485,35.111,35.364000000000004,9028731,0,0
2014-04-07,35.594,36.253,34.298,34.609,10930167,0,1
2014-04-08,34.841,35.033,32.519,34.801,17998854,0,0
2014-04-09,34.859,35.79,34.008,35.691,11865940,0,-1
2014-04-10,35.497,36.156,33.468,34.135,16863870,0,0
2014-04-11,32.972,34.298,32.491,32.577,16060762,0,0
2014-04-14,32.887,33.63,31.695,32.275999999999996,13922402,0,1
2014-04-15,32.422,33.205,30.816,32.614000000000004,16521576,0,0
2014-04-16,33.052,34.424,32.829,34.347,16164651,0,-1
2014-04-17,34.336999999999996,34.694,33.68,34.24,9537405,0,1
2014-04-21,33.846,34.618,33.718,34.501999999999995,7434076,0,0
2014-04-22,34.59,35.535,34.58,34.976,9244659,0,0
2014-04-23,35.923,36.367,35.207,35.873000000000005,15138217,0,0
2014-04-24,36.64,36.986999999999995,34.626,36.039,21750158,0,-1
2014-04-25,35.79,35.893,34.734,34.821,9898525,0,0
2014-04-28,35.217,35.516,33.214,34.008,13594359,0,1
2014-04-29,34.046,34.482,33.826,34.347,9298827,0,-1
2014-04-30,34.512,34.704,33.747,33.921,7179813,0,1
2014-05-01,34.684,35.497,34.308,35.196999999999996,11890649,0,0
2014-05-02,35.196999999999996,35.516,34.879,35.296,7223809,0,0
2014-05-05,34.928000000000004,35.574,34.618,35.400999999999996,6015473,0,0
2014-05-06,35.98,36.176,35.196999999999996,35.469,9814060,0,0
2014-05-07,35.383,36.089,35.121,35.999,8064192,0,0
2014-05-08,36.029,36.997,35.838,36.997,14939631,0,0
2014-05-09,36.717,37.431999999999995,36.668,37.006,10032103,0,0
2014-05-12,37.095,38.196,37.095,38.101,12859673,0,-1
2014-05-13,37.692,38.438,37.578,38.023,8973095,0,0
2014-05-14,37.829,37.955,37.297,37.568000000000005,8263246,0,0
2014-05-15,37.288000000000004,37.461999999999996,36.253,36.938,11038364,0,1
2014-05-16,36.793,37.412,36.524,37.268,7301638,0,0
2014-05-19,37.229,37.876999999999995,36.852,37.305,7407218,0,-1
2014-05-20,37.278,37.608000000000004,36.774,36.986999999999995,6498255,0,1
2014-05-21,37.025999999999996,37.578,36.803000000000004,37.065,6786426,0,0
2014-05-22,37.046,37.608000000000004,37.046,37.452,6631845,0,0
2014-05-23,37.431999999999995,38.205,37.268,37.829,10199727,0,0
2014-05-27,38.091,38.622,37.946,38.062,9905935,0,0
2014-05-28,38.111,39.010999999999996,37.906,38.496,11509388,0,0
2014-05-29,38.585,38.951,38.071,38.516,9994464,0,0
2014-05-30,38.525999999999996,38.853,38.379,38.843,14358699,0,0
2014-06-02,38.805,39.899,38.69,39.869,10238946,0,0
2014-06-03,39.783,40.711,39.763000000000005,40.083,9776416,0,0
2014-06-04,40.005,41.495,39.85,41.418,12337258,0,-1
2014-06-05,41.592,42.066,40.884,41.022,8828848,0,1
2014-06-06,41.06100000000001,42.482,41.032,42.443999999999996,14077492,0,-1
2014-06-09,42.559,42.977,41.659,42.161,12083788,0,1
2014-06-10,42.075,42.424,41.523999999999994,42.229,8668327,0,-1
2014-06-11,41.495,41.871,40.653,40.903,13631090,0,0
2014-06-12,39.919000000000004,40.054,37.578,38.882,38578912,0,1
2014-06-13,38.931,39.58,38.254,39.059,14046200,0,0
2014-06-16,38.37,39.939,38.37,39.715,14095338,0,0
2014-06-17,39.734,40.808,39.426,40.497,12951494,0,0
2014-06-18,40.527,41.418,40.208,41.262,11631407,0,0
2014-06-19,41.428000000000004,42.066,41.262,41.648999999999994,14594127,0,0
2014-06-20,41.63,43.091,41.62,43.091,42020205,0,-1
2014-06-23,42.858000000000004,43.412,42.365,42.908,19081805,0,0
2014-06-24,42.693999999999996,43.147,41.358999999999995,41.766999999999996,13698698,0,1
2014-06-25,41.495,42.559,40.913000000000004,42.472,11315240,0,0
2014-06-26,42.521,43.138000000000005,42.075,43.091,11552874,0,-1
2014-06-27,42.848,43.284,42.472,42.559,42874386,0,0
2014-06-30,42.598,42.636,41.428000000000004,41.553999999999995,10809464,0,1
2014-07-01,42.019,42.461999999999996,41.638999999999996,42.424,9475049,0,-1
2014-07-02,41.534,41.544,40.064,40.576,20415915,0,0
2014-07-03,41.214,41.534,40.045,40.255,8537621,0,0
2014-07-07,40.355,40.355,38.614000000000004,38.787,14705911,0,1
2014-07-08,37.857,39.010999999999996,36.659,38.941,27294470,0,0
2014-07-09,40.702,40.961999999999996,39.183,40.615,21160067,0,0
2014-07-10,39.657,41.573,39.436,41.418,12227800,0,0
2014-07-11,41.544,41.813,41.126999999999995,41.475,8408969,0,0
2014-07-14,41.842,42.161,41.33,41.573,7459502,0,0
2014-07-15,41.91,42.297,41.379,42.268,8642400,0,-1
2014-07-16,42.559,42.559,41.881,42.056999999999995,6586892,0,0
2014-07-17,41.63,42.019,40.285,40.335,14388408,0,1
2014-07-18,40.848,41.803000000000004,40.769,41.513999999999996,9170074,0,-1
2014-07-21,41.505,41.544,40.867,41.09,5876764,0,0
2014-07-22,41.302,41.485,40.769,40.992,6676144,0,1
2014-07-23,41.321000000000005,42.229,41.253,41.91,10499963,0,-1
2014-07-24,41.108999999999995,42.511,40.335,40.779,18626128,0,0
2014-07-25,40.867,41.282,39.977,40.315,11360518,0,0
2014-07-28,40.469,40.576,38.506,38.971,16376908,0,0
2014-07-29,39.318000000000005,39.512,38.101,38.234,11080580,0,1
2014-07-30,38.565,38.941,38.004,38.254,11123513,0,-1
2014-07-31,37.721,38.205,36.897,37.674,13957944,0,1
2014-08-01,37.616,38.332,37.265,38.234,9256977,0,-1
2014-08-04,38.293,38.641999999999996,36.49,36.985,11437410,0,0
2014-08-05,36.742,37.285,35.626999999999995,36.053000000000004,10746876,0,1
2014-08-06,35.452,36.848,35.045,36.323,9798304,0,-1
2014-08-07,36.539,37.246,35.394,35.744,10191401,0,1
2014-08-08,35.452,36.248000000000005,34.164,36.053000000000004,21404544,0,0
2014-08-11,36.646,37.208,36.218,36.819,9295484,0,-1
2014-08-12,36.985,36.985,36.143,36.382,6416086,0,1
2014-08-13,36.5,37.294000000000004,36.305,36.965,6370037,0,0
2014-08-14,37.333,38.409,37.294000000000004,38.37,10447517,0,-1
2014-08-15,38.738,38.865,37.616,38.003,10116141,0,1
2014-08-18,38.448,39.661,38.399,39.429,11243016,0,-1
2014-08-19,39.719,39.758,39.043,39.204,6000026,0,1
2014-08-20,39.175,39.563,38.816,39.37,6709863,0,-1
2014-08-21,39.515,39.611999999999995,38.244,38.313,8408679,0,1
2014-08-22,38.399,38.993,38.352,38.641999999999996,5952305,0,-1
2014-08-25,39.013000000000005,39.061,38.205,38.224000000000004,7295991,0,0
2014-08-26,38.352,38.546,37.885999999999996,37.905,5912294,0,0
2014-08-27,38.166,38.205,37.508,37.808,6659085,0,1
2014-08-28,37.536,38.205,37.527,37.983000000000004,4010505,0,-1
2014-08-29,37.915,38.157,37.198,37.701,6853258,0,1
2014-09-02,37.818000000000005,39.311,37.711,39.273,11275994,0,-1
2014-09-03,38.527,38.691,37.5,37.954,10308237,0,0
2014-09-04,38.176,38.768,37.198,37.303000000000004,12379536,0,0
2014-09-05,37.343,37.536,36.569,36.703,12446398,0,1
2014-09-08,36.848,37.236,36.809,37.071999999999996,7576521,0,-1
2014-09-09,36.49,37.508,36.248000000000005,36.809,9385940,0,1
2014-09-10,36.78,37.691,36.762,37.41,8360881,0,-1
2014-09-11,37.556,37.856,36.78,36.935,10381280,0,0
2014-09-12,36.935,37.343,36.49,36.51,8488321,0,0
2014-09-15,36.5,36.655,35.724000000000004,35.946,8202873,0,1
2014-09-16,35.876999999999995,36.857,35.694,36.829,6933997,0,-1
2014-09-17,36.77,37.082,35.917,36.323,6892715,0,1
2014-09-18,36.559,36.955,36.46,36.897,4696563,0,-1
2014-09-19,36.916,37.092,35.519,35.519,18141260,0,0
2014-09-22,35.876999999999995,35.876999999999995,34.366,34.501999999999995,11310733,0,0
2014-09-23,33.978,34.685,33.589,34.26,12528409,0,1
2014-09-24,34.395,35.238,34.114000000000004,35.025,8754915,0,-1
2014-09-25,34.792,34.89,33.814,34.144,11275717,0,1
2014-09-26,34.181999999999995,35.025,33.959,34.842,8781068,0,-1
2014-09-29,34.278,34.666,33.882,33.969,7722863,0,1
2014-09-30,34.036,34.764,33.299,34.405,10960784,0,-1
2014-10-01,33.455,33.882,32.825,33.347,20055318,0,0
2014-10-02,33.425,34.308,32.496,32.903,22148926,0,1
2014-10-03,33.638000000000005,35.219,33.562,35.133,15551134,0,-1
2014-10-06,35.209,35.394,33.804,33.872,13191916,0,0
2014-10-07,33.696,33.959,33.028,33.058,10344270,0,0
2014-10-08,33.485,33.504,31.612,32.0,23458481,0,0
2014-10-09,32.486,32.678000000000004,30.971999999999998,31.011999999999997,23345432,0,0
2014-10-10,30.594,31.27,28.875999999999998,29.846,31981736,0,0
2014-10-13,30.129,30.438000000000002,27.249000000000002,27.713,35585172,0,1
2014-10-14,28.403000000000002,31.206,28.393,30.555,29021445,0,0
2014-10-15,29.303,31.631,28.596,30.730999999999998,41177450,0,0
2014-10-16,29.703000000000003,32.389,29.090999999999998,31.971,25764696,0,0
2014-10-17,32.854,33.299,31.816,32.369,16508245,0,0
2014-10-20,33.154,34.318000000000005,32.969,34.154,13947891,0,0
2014-10-21,35.045,36.732,34.929,36.703,27159770,0,-1
2014-10-22,36.916,37.062,35.823,35.917,19544702,0,1
2014-10-23,36.297,38.963,35.685,37.313,34323008,0,0
2014-10-24,37.43,38.738,37.41,38.614000000000004,18381300,0,0
2014-10-27,38.399,39.175,38.101,38.701,13772555,0,0
2014-10-28,38.894,39.525,38.546,39.023,12574518,0,-1
2014-10-29,38.855,39.175,38.051,38.729,16277343,0,1
2014-10-30,38.797,39.555,38.516,39.176,10869542,0,0
2014-10-31,39.916,40.586,39.663000000000004,40.196999999999996,13385677,0,0
2014-11-03,40.294000000000004,40.926,40.274,40.83,8685476,0,0
2014-11-04,41.636,42.483000000000004,41.316,41.51,17919859,0,-1
2014-11-05,42.114,42.141000000000005,40.916,41.074,11859301,0,1
2014-11-06,41.403,42.901,41.403,41.938,14890221,0,0
2014-11-07,42.037,42.277,41.441,41.997,9281096,0,0
2014-11-10,41.316,42.714,40.508,42.608999999999995,13548541,0,-1
2014-11-11,42.773999999999994,43.23,42.114,42.228,11369877,0,0
2014-11-12,42.047,42.415,41.646,42.218,7926155,0,1
2014-11-13,42.345,43.22,42.277,42.891000000000005,11453767,0,-1
2014-11-14,42.951,43.299,42.455,42.783,8995795,0,0
2014-11-17,42.744,43.339,42.415,42.473,8938175,0,1
2014-11-18,42.542,44.191,42.542,43.794,14626720,0,-1
2014-11-19,43.57899999999999,44.135,42.81100000000001,42.871,11613338,0,1
2014-11-20,42.483000000000004,43.474,41.997,42.931000000000004,9699939,0,-1
2014-11-21,43.141999999999996,43.248999999999995,42.047,42.104,11177282,0,0
2014-11-24,42.473,42.733999999999995,41.589,42.007,9850985,0,1
2014-11-25,41.978,43.2,41.898,42.92100000000001,11892505,0,0
2014-11-26,43.075,44.477,42.773999999999994,43.717,13165586,0,0
2014-11-28,45.691,48.071999999999996,45.691,47.177,22259042,0,-1
2014-12-01,47.684,48.091,46.038999999999994,46.545,15585794,0,0
2014-12-02,46.711000000000006,47.343999999999994,45.836999999999996,46.526,12193237,0,1
2014-12-03,46.41,47.119,45.611000000000004,46.896,9173347,0,0
2014-12-04,48.317,48.869,47.946000000000005,48.266999999999996,15668436,0,0
2014-12-05,48.695,50.306000000000004,48.61600000000001,49.589,16032227,0,-1
2014-12-08,49.034,49.89,48.754,49.402,16626818,0,0
2014-12-09,47.75,47.83,46.068999999999996,46.963,21163526,0,1
2014-12-10,48.403999999999996,48.994,46.905,47.577,19017364,0,0
2014-12-11,48.413000000000004,50.065,48.266999999999996,49.122,15514969,0,-1
2014-12-12,50.232,50.25899999999999,48.507,48.577,15798963,0,1
2014-12-15,48.81100000000001,49.89,47.946000000000005,49.422,15808553,0,-1
2014-12-16,49.589,49.725,46.352,46.623000000000005,22673566,0,1
2014-12-17,46.915,48.108999999999995,44.768,47.43899999999999,25488305,0,0
2014-12-18,47.207,49.511,46.176,48.744,17412109,0,0
2014-12-19,48.287,49.521,47.732,49.295,27554524,0,0
2014-12-22,49.678000000000004,50.434,49.305,49.422,9124742,0,-1
2014-12-23,49.531000000000006,49.715,48.451,48.81100000000001,7375337,0,1
2014-12-24,49.251000000000005,50.248999999999995,48.945,49.997,6132296,0,0
2014-12-26,50.026,50.793,49.638000000000005,50.512,7037624,0,0
2014-12-29,50.248999999999995,51.755,49.87,51.376999999999995,9042192,0,0
2014-12-30,51.523999999999994,52.203,51.358000000000004,51.931999999999995,8294163,0,0
2014-12-31,52.398,53.117,51.833999999999996,52.135,11380074,0,0
2015-01-02,52.787,53.078,51.593,52.408,11058442,0,-1
2015-01-05,52.855,53.021,51.853,52.379,11895506,0,0
2015-01-06,52.757,52.913999999999994,50.678000000000004,51.563,14165787,0,0
2015-01-07,51.893,52.153999999999996,50.668,51.534,10357774,0,1
2015-01-08,51.992,52.766999999999996,51.765,52.163999999999994,9948748,0,-1
2015-01-09,52.173,52.408,50.376000000000005,50.571000000000005,12704713,0,0
2015-01-12,49.57899999999999,50.016000000000005,47.83,48.198,18780006,0,1
2015-01-13,48.725,49.997,48.081,48.994,12610297,0,-1
2015-01-14,48.042,48.83,46.75899999999999,48.032,16134343,0,0
2015-01-15,47.76,48.994,47.227,48.032,10695025,0,0
2015-01-16,48.004,48.577,46.925,48.422,13349393,0,0
2015-01-20,49.568999999999996,51.358000000000004,49.343999999999994,51.28,16246825,0,0
2015-01-21,51.183,52.494,50.501999999999995,52.173,26382083,0,0
2015-01-22,53.03,54.266000000000005,52.408,54.041000000000004,18048732,0,0
2015-01-23,53.858000000000004,54.418,53.273,54.137,10819894,0,-1
2015-01-26,54.333,54.63399999999999,53.205,53.903,13728749,0,0
2015-01-27,52.486000000000004,53.001000000000005,51.076,51.221000000000004,20372260,0,0
2015-01-28,51.385,52.202,48.897,49.211000000000006,17326307,0,1
2015-01-29,49.619,50.958999999999996,49.162,50.783,17093958,0,-1
2015-01-30,50.551,50.678000000000004,47.275,47.714,19000637,0,0
2015-02-02,47.567,47.567,44.923,47.363,23055259,0,0
2015-02-03,45.981,46.818000000000005,45.251999999999995,46.176,17154302,0,1
2015-02-04,47.266000000000005,48.403999999999996,46.887,48.081,12173523,0,-1
2015-02-05,48.178999999999995,48.178999999999995,46.367,47.54600000000001,9461769,0,0
2015-02-06,47.576,48.188,46.65,46.898999999999994,8878789,0,0
2015-02-09,45.208,46.015,44.761,45.326,13305762,0,1
2015-02-10,46.172,47.126999999999995,45.68600000000001,46.806000000000004,9323815,0,-1
2015-02-11,47.526,47.683,46.123999999999995,46.357,10325309,0,1
2015-02-12,45.538000000000004,47.244,45.198,46.64,9794908,0,0
2015-02-13,46.3,47.146,45.442,47.136,10158578,0,-1
2015-02-17,47.507,48.169,46.62,46.766000000000005,7453332,0,1
2015-02-18,47.342,48.169,46.931999999999995,48.032,8981390,0,0
2015-02-19,49.464,49.483999999999995,48.306999999999995,48.489,11767595,0,0
2015-02-20,48.518,49.795,47.858000000000004,49.699,10816479,0,0
2015-02-23,50.41,50.849,49.631,49.981,9756879,0,0
2015-02-24,48.986000000000004,50.226000000000006,48.081,50.18600000000001,14270786,0,-1
2015-02-25,49.903999999999996,50.157,48.178999999999995,48.442,9830960,0,0
2015-02-26,49.075,49.075,47.748999999999995,48.071999999999996,7776850,0,0
2015-02-27,47.799,48.119,46.61,46.66,9645353,0,1
2015-03-02,46.951,47.313,46.61,47.058,11788208,0,0
2015-03-03,46.61,47.75899999999999,46.513000000000005,47.507,9291850,0,0
2015-03-04,47.583999999999996,47.693000000000005,46.738,47.683,6889431,0,-1
2015-03-05,47.917,47.926,46.542,47.146,7228206,0,0
2015-03-06,47.078,47.673,46.66,46.748000000000005,7188478,0,0
2015-03-09,46.806000000000004,47.321999999999996,46.348,46.678999999999995,7658553,0,0
2015-03-10,46.27,46.348,45.266000000000005,45.528999999999996,9585352,0,1
2015-03-11,45.68600000000001,46.65,45.373999999999995,46.162,6806585,0,0
2015-03-12,46.338,47.926,46.32899999999999,47.917,7326257,0,0
2015-03-13,47.536,48.208,47.028999999999996,47.946000000000005,9432188,0,0
2015-03-16,48.479,49.144,48.169,48.919,11187447,0,0
2015-03-17,51.266999999999996,52.777,51.141000000000005,52.3,42950181,0,0
2015-03-18,52.3,53.18600000000001,51.96,52.728,21891886,0,0
2015-03-19,53.156000000000006,53.81100000000001,53.038999999999994,53.761,19400153,0,0
2015-03-20,53.761,54.598,53.438,54.317,141430049,0,-1
2015-03-23,54.06100000000001,54.481,52.961999999999996,52.99100000000001,19548289,0,0
2015-03-24,52.64,53.001000000000005,52.271,52.532,12258180,0,0
2015-03-25,52.231,52.388000000000005,50.586000000000006,50.663000000000004,14616353,0,0
2015-03-26,49.523999999999994,50.351000000000006,48.946000000000005,49.931999999999995,14621385,0,1
2015-03-27,50.05,51.481,50.05,51.297,9243294,0,0
2015-03-30,51.783,52.445,51.675,52.251000000000005,8384348,0,-1
2015-03-31,52.271,52.34,51.317,51.411,8609376,0,0
2015-04-01,49.776,50.05,48.813,49.13399999999999,15595410,0,0
2015-04-02,49.174,49.534,47.876999999999995,47.897,14484849,0,0
2015-04-06,47.097,47.428000000000004,46.435,46.835,13677538,0,0
2015-04-07,47.049,47.536,46.26,46.26,9640010,0,1
2015-04-08,46.56100000000001,47.818999999999996,46.493,47.477,11477253,0,-1
2015-04-09,47.593,48.198,46.483999999999995,46.601000000000006,11882443,0,0
2015-04-10,46.913000000000004,47.526,46.483999999999995,46.493,12024732,0,1
2015-04-13,46.24,47.332,46.24,46.552,9598802,0,-1
2015-04-14,46.26,46.542,45.666000000000004,46.192,10141046,0,1
2015-04-15,46.756,47.458,46.435,46.513000000000005,10107943,0,0
2015-04-16,46.571000000000005,47.643,46.513000000000005,46.99,7346134,0,-1
2015-04-17,46.951,47.39,46.708,46.941,8889944,0,1
2015-04-20,47.381,48.489,46.669,48.47,9776731,0,0
2015-04-21,48.706,50.088,48.178999999999995,50.03,11138316,0,0
2015-04-22,50.068999999999996,50.206,49.095,50.068999999999996,7510699,0,0
2015-04-23,49.756,50.381,49.386,50.117,10082840,0,0
2015-04-24,50.635,52.083,50.157,51.346000000000004,20786355,0,-1
2015-04-27,51.297,51.317,50.351000000000006,50.527,10105013,0,0
2015-04-28,50.361000000000004,50.477,48.716,49.864,9481157,0,0
2015-04-29,49.272,49.483999999999995,46.425,47.613,18530117,0,0
2015-04-30,47.341,48.278,46.863,47.126000000000005,9630493,0,1
2015-05-01,47.486999999999995,48.638999999999996,47.351000000000006,48.208999999999996,8282471,0,-1
2015-05-04,48.229,48.883,47.633,47.778999999999996,5726681,0,0
2015-05-05,47.056999999999995,47.54600000000001,45.778999999999996,45.887,11663690,0,1
2015-05-06,45.662,46.501000000000005,45.047,45.916000000000004,10363335,0,0
2015-05-07,46.266999999999996,48.434,46.266999999999996,47.888000000000005,11704611,0,-1
2015-05-08,48.053000000000004,48.638999999999996,47.75899999999999,47.868,6636733,0,1
2015-05-11,47.82899999999999,49.097,47.633,48.463,8233400,0,-1
2015-05-12,47.937,48.218999999999994,47.468,47.683,6987565,0,0
2015-05-13,48.092,48.658,47.243,47.331,8762546,0,1
2015-05-14,47.769,47.918,47.341,47.643,8175515,0,-1
2015-05-15,48.229,48.268,47.4,47.507,6812311,0,1
2015-05-18,47.4,47.995,47.224,47.82899999999999,6302495,0,-1
2015-05-19,48.278,48.49100000000001,46.559,46.706,15351846,0,0
2015-05-20,46.423,46.423,41.943000000000005,42.032,52720447,0,0
2015-05-21,42.157,42.352,41.387,41.45399999999999,24480853,0,1
2015-05-22,41.68,41.903,41.016000000000005,41.592,16507569,0,-1
2015-05-26,42.022,42.06,40.373000000000005,40.566,17907316,0,1
2015-05-27,40.654,41.435,40.605,41.231,13336577,0,-1
2015-05-28,41.24100000000001,41.483000000000004,40.772,40.966,9463532,0,1
2015-05-29,40.664,41.582,40.333,41.357,13560222,0,0
2015-06-01,41.513000000000005,43.32,41.083999999999996,43.123000000000005,22453700,0,-1
2015-06-02,42.263999999999996,43.04600000000001,42.012,42.733000000000004,15193600,0,0
2015-06-03,42.31399999999999,42.86,41.982,42.1,13597513,0,0
2015-06-04,42.022,42.93,40.879,41.161,14473964,0,0
2015-06-05,41.123000000000005,41.563,40.713,40.723,10194780,0,0
2015-06-08,40.088,40.253,38.332,38.907,26388447,0,1
2015-06-09,37.873000000000005,39.747,37.53,39.361999999999995,27686541,0,0
2015-06-10,39.248000000000005,40.225,38.75,39.465,16115314,0,-1
2015-06-11,39.815,40.273,38.986999999999995,39.065,10364468,0,1
2015-06-12,38.887,40.01,38.809,39.736999999999995,10574351,0,-1
2015-06-15,39.387,40.02,39.055,39.11,9046431,0,0
2015-06-16,39.169000000000004,39.357,38.379,38.537,9437582,0,1
2015-06-17,38.332,39.13,37.98,38.927,9801684,0,0
2015-06-18,38.848,39.258,38.663000000000004,39.016999999999996,10907722,0,0
2015-06-19,39.336999999999996,40.888000000000005,39.336999999999996,40.566,20692912,0,0
2015-06-22,41.893,42.217,41.231,42.001999999999995,15490357,0,-1
2015-06-23,41.953,42.382,41.336999999999996,41.705,10964027,0,0
2015-06-24,41.68,41.893,41.065,41.231,7064764,0,0
2015-06-25,41.63,42.382,41.191,41.231,8374264,0,0
2015-06-26,41.426,41.563,40.343,40.45,10060264,0,0
2015-06-29,39.796,40.333,38.643,38.799,18083949,0,1
2015-06-30,39.238,39.633,38.977,38.982,11458393,0,-1
2015-07-01,39.678000000000004,39.923,36.896,37.873000000000005,25516915,0,1
2015-07-02,38.088,38.858000000000004,37.484,38.098,11351325,0,0
2015-07-06,38.155,39.047,38.146,38.78,9381951,0,0
2015-07-07,38.977,39.766999999999996,38.321999999999996,39.698,10629982,0,-1
2015-07-08,39.336999999999996,39.347,38.203,38.37,11467092,0,1
2015-07-09,38.887,39.318000000000005,38.702,38.721,8698720,0,0
2015-07-10,39.54,40.645,39.532,40.225,16854463,0,0
